               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/zombie_mAP_50,metrics/skeleton_mAP_50,metrics/spider_mAP_50,metrics/creeper_mAP_50,metrics/enderman_mAP_50,metrics/slime_mAP_50
                  36,            0.016007,           0.0024815,           0.0026742,              0.9968,             0.99904,             0.99496,             0.81407,           0.0065808,          0.00079917,           0.0006903,           0.0022144,           0.0022144,           0.0022144,             0.82609,              0.7551,              0.8266,             0.78814,             0.81416,             0.87435
                  37,            0.015957,           0.0025421,           0.0026504,             0.99188,             0.99912,             0.99491,             0.77833,           0.0075098,          0.00082375,          0.00069153,           0.0021862,           0.0021862,           0.0021862,             0.78972,             0.74154,             0.75642,             0.76326,             0.75146,             0.86756
                  38,            0.015588,           0.0024814,           0.0024784,             0.99637,             0.99568,             0.99491,             0.80049,           0.0069561,          0.00078949,          0.00064919,           0.0021581,           0.0021581,           0.0021581,             0.83375,             0.76588,             0.78522,             0.77394,             0.77585,             0.86833
                  39,            0.015753,           0.0024692,            0.002428,             0.99587,             0.99758,             0.99488,             0.76209,           0.0079909,          0.00079645,          0.00066821,           0.0021299,           0.0021299,           0.0021299,             0.78411,             0.66866,             0.77352,             0.71742,             0.74981,             0.87902
                  40,            0.015567,           0.0024517,           0.0024383,             0.99496,             0.99903,             0.99495,              0.7816,           0.0071087,          0.00078299,          0.00062209,           0.0021018,           0.0021018,           0.0021018,             0.81948,             0.68714,             0.78278,             0.79175,              0.7516,             0.85684
                  41,            0.015395,           0.0023895,           0.0023554,             0.99222,              0.9956,             0.99478,             0.78132,           0.0071988,          0.00081547,          0.00062091,           0.0020736,           0.0020736,           0.0020736,             0.78695,             0.74994,             0.74076,             0.77248,             0.80271,             0.83507
                  42,            0.015275,           0.0024527,           0.0023473,             0.99482,                   1,             0.99499,             0.82973,           0.0064931,          0.00077163,           0.0005669,           0.0020454,           0.0020454,           0.0020454,             0.84729,             0.83748,             0.81311,             0.82848,             0.78816,             0.86385
                  43,            0.015348,           0.0024114,           0.0023409,             0.99411,             0.99787,             0.99495,             0.79006,           0.0072801,          0.00077129,          0.00056518,           0.0020173,           0.0020173,           0.0020173,             0.83406,             0.76683,              0.7593,             0.80178,             0.76497,             0.81344
                  44,            0.015093,           0.0024416,           0.0022857,             0.99269,             0.99901,              0.9949,             0.82992,           0.0061182,          0.00075458,          0.00056415,           0.0019891,           0.0019891,           0.0019891,             0.81902,             0.83376,             0.83064,             0.79878,             0.82798,             0.86933
                  45,            0.015013,           0.0024139,           0.0021229,             0.99531,             0.99815,             0.99494,              0.7684,           0.0076444,          0.00076049,          0.00055025,            0.001961,            0.001961,            0.001961,             0.78804,             0.74153,             0.76255,             0.71911,             0.74127,             0.85789
                  46,            0.015121,           0.0024003,           0.0021302,             0.99523,             0.99695,             0.99492,             0.81675,           0.0065223,          0.00074785,          0.00053969,           0.0019328,           0.0019328,           0.0019328,             0.80213,             0.82165,             0.82191,             0.82639,             0.77217,             0.85627
                  47,            0.014952,           0.0024221,           0.0020267,             0.99607,             0.99824,             0.99498,              0.8159,           0.0066464,          0.00075423,          0.00051396,           0.0019046,           0.0019046,           0.0019046,             0.82892,             0.75895,             0.83129,             0.79816,             0.81577,             0.86229
                  48,            0.014965,           0.0023805,           0.0021046,             0.99615,                   1,             0.99498,             0.83758,           0.0059872,          0.00071633,          0.00052441,           0.0018765,           0.0018765,           0.0018765,              0.8491,             0.83797,             0.84116,             0.79409,              0.8194,             0.88374
                  49,            0.015029,           0.0023984,           0.0021626,             0.99685,             0.99818,             0.99489,             0.82704,           0.0062308,          0.00072826,          0.00051006,           0.0018483,           0.0018483,           0.0018483,             0.84212,             0.80423,              0.8457,             0.79488,             0.80267,             0.87267
                  50,            0.014669,           0.0023227,           0.0022568,             0.99508,                   1,             0.99482,             0.81362,           0.0065567,          0.00072841,          0.00050719,           0.0018202,           0.0018202,           0.0018202,             0.79881,             0.81075,             0.82993,             0.80721,             0.77488,             0.86013
                  51,            0.014281,           0.0023909,           0.0020397,             0.99426,                   1,             0.99497,             0.82914,           0.0060068,          0.00071397,          0.00047566,            0.001792,            0.001792,            0.001792,             0.82488,             0.82774,             0.82148,             0.77997,             0.84363,             0.87713
                  52,            0.014295,           0.0023015,           0.0019712,             0.99762,                   1,             0.99498,             0.80673,           0.0069284,          0.00071417,          0.00046588,           0.0017638,           0.0017638,           0.0017638,             0.79784,             0.81667,             0.80049,             0.76746,             0.80374,             0.85415
                  53,            0.014484,           0.0023056,           0.0019187,             0.99391,             0.99745,             0.99493,             0.79005,           0.0072336,           0.0007524,          0.00047341,           0.0017357,           0.0017357,           0.0017357,             0.77086,             0.80135,             0.76243,             0.80137,             0.72902,              0.8753
                  54,            0.014445,           0.0024066,           0.0020154,             0.99743,                   1,             0.99499,             0.84187,           0.0059809,          0.00069235,          0.00045594,           0.0017075,           0.0017075,           0.0017075,             0.82782,               0.838,             0.83784,             0.83102,             0.83932,             0.87725
                  55,            0.014078,           0.0023111,           0.0018004,             0.99698,                   1,             0.99498,             0.82991,           0.0062366,          0.00069925,          0.00044313,           0.0016794,           0.0016794,           0.0016794,             0.83837,             0.83445,             0.83002,             0.80917,             0.79193,              0.8755
                  56,            0.014067,           0.0023032,           0.0018934,             0.99813,              0.9995,             0.99498,             0.84143,           0.0059217,          0.00068994,           0.0004395,           0.0016512,           0.0016512,           0.0016512,             0.85202,             0.84393,             0.84005,             0.81831,             0.80835,             0.88594
                  57,            0.013737,           0.0023037,           0.0017882,             0.99555,             0.99949,             0.99497,             0.83983,           0.0060795,          0.00068846,          0.00041535,            0.001623,            0.001623,            0.001623,             0.83531,             0.81728,             0.84288,             0.81726,             0.84184,             0.88439
                  58,            0.013761,           0.0022976,           0.0017939,             0.99568,             0.99999,             0.99498,             0.82747,           0.0063822,          0.00069078,          0.00039263,           0.0015949,           0.0015949,           0.0015949,             0.84969,             0.80936,             0.84045,             0.76598,             0.81247,             0.88685
                  59,            0.013747,           0.0022553,           0.0018085,             0.99711,             0.99995,             0.99499,             0.83209,           0.0062228,          0.00068359,          0.00039984,           0.0015667,           0.0015667,           0.0015667,             0.83868,             0.80856,             0.81522,             0.82909,             0.82537,             0.87562
                  60,            0.013712,           0.0022903,            0.001736,             0.99806,                   1,             0.99497,             0.85019,           0.0057407,          0.00066888,          0.00040035,           0.0015386,           0.0015386,           0.0015386,             0.85696,             0.82882,             0.85352,             0.83386,             0.83527,             0.89271
                  61,            0.013723,           0.0022311,            0.001742,             0.99735,             0.99996,             0.99493,             0.81881,           0.0063723,          0.00068534,          0.00038777,           0.0015104,           0.0015104,           0.0015104,             0.82427,             0.76877,             0.80735,             0.81278,             0.82304,             0.87667
                  62,             0.01366,           0.0022147,           0.0017689,             0.99803,                   1,             0.99498,             0.85111,           0.0057657,           0.0006672,          0.00039419,           0.0014822,           0.0014822,           0.0014822,             0.84883,             0.82205,             0.85604,             0.85194,             0.83367,             0.89413
                  63,            0.013575,           0.0023061,           0.0017767,             0.99603,             0.99948,             0.99489,             0.82462,           0.0061626,          0.00067692,          0.00037814,           0.0014541,           0.0014541,           0.0014541,             0.82474,             0.76853,             0.84346,             0.78591,             0.84101,             0.88405
                  64,            0.013458,           0.0022309,           0.0019628,             0.99611,             0.99999,             0.99492,             0.80862,           0.0065652,          0.00067245,          0.00037366,           0.0014259,           0.0014259,           0.0014259,             0.80819,             0.81763,             0.77797,             0.79382,             0.79824,             0.85585
                  65,            0.013364,           0.0022376,           0.0017744,             0.99608,                   1,             0.99496,             0.85265,           0.0056813,          0.00065951,          0.00036489,           0.0013978,           0.0013978,           0.0013978,             0.85082,             0.85059,              0.8436,               0.846,             0.82509,              0.8998
                  66,            0.013288,           0.0022246,           0.0017322,             0.99852,             0.99942,               0.995,             0.86326,           0.0054078,          0.00064247,          0.00036427,           0.0013696,           0.0013696,           0.0013696,             0.86979,             0.86587,             0.86393,             0.85042,             0.85673,             0.87283
                  67,            0.013299,           0.0022634,           0.0016752,             0.99703,             0.99809,             0.99497,             0.85454,           0.0056689,          0.00065098,          0.00035375,           0.0013414,           0.0013414,           0.0013414,             0.85189,              0.8479,             0.85272,             0.84002,             0.84658,             0.88811
                  68,            0.013165,           0.0022444,           0.0017605,             0.99459,                   1,             0.99497,             0.84801,            0.005895,          0.00064599,          0.00035269,           0.0013133,           0.0013133,           0.0013133,             0.84267,             0.80296,             0.85266,             0.84968,             0.83909,             0.90102
                  69,            0.013079,           0.0022481,           0.0016185,             0.99574,                   1,             0.99498,             0.85055,            0.005569,          0.00064515,          0.00032684,           0.0012851,           0.0012851,           0.0012851,              0.8431,             0.84583,             0.85395,             0.80875,              0.8474,             0.90427
